st	sample_id	name
3112	1183	ERX152080
3113	1643	ERX212161
3114	1512	ERX209308
3115	1623	ERX212136
3116	1547	ERX209359
3117	2458	ERX359449
3118	2807	ERX470753
3119	2598	ERX455872
3120	2439	ERX359425
3122	1825	ERX276008
3123	831	ERX139238
3124	1340	ERX186342
3125	1716	ERX221200
3126	2410	ERX359396
3127	1706	ERX221188
3129	1974	ERX328680
3130	1522	ERX209321
3131	849	ERX139259
3132	1291	ERX186293
3133	1303	ERX186305
3134	1708	ERX221191
3136	1552	ERX209366
3137	3032	ERX490399
3138	2430	ERX359416
3139	1837	ERX276022
3140	19688	ERX359456
3141	6775	ERX197772
3142	2895	ERX490230
3170	18301	SRX791926
3173	18303	SRX791933
3310	14448	ERX204858
3311	14455	ERX204870
3314	12080	ERX114014
3315	5382	ERX110848
3316	5402	ERX110871
3317	14614	ERX276156
3330	14692	ERX311502
3341	1562	ERX209383
3344	6855	ERX209409
3346	6861	ERX209423
3348	6920	ERX209541
3349	14479	ERX212185
3350	14494	ERX212212
3351	4127	SRX1051438
3358	6972	ERX212248
3359	12101	ERX116909
3365	1765	ERX267656
3366	1774	ERX267665
3423	15199	ERX385359
3426	7790	ERX385128
3427	7898	ERX385356
3430	7936	ERX385430
3435	15219	ERX385405
3436	4055	SRX1051363
3437	7998	ERX385510
3439	7822	ERX385253
3441	7798	ERX385138
3442	7864	ERX385303
3443	7826	ERX385260
3446	8017	ERX385530
3448	7993	ERX385504
3449	7803	ERX385143
3451	7893	ERX385348
3452	4242	SRX1051561
3453	15194	ERX385344
3454	7804	ERX385144
3455	4110	SRX1051421
3456	7808	ERX385188
3457	7814	ERX385218
3458	4228	SRX1051547
3459	7945	ERX385448
3464	23699	ERX385133
3467	4052	SRX1051360
3468	4141	SRX1051454
3469	7815	ERX385233
3470	7856	ERX385293
3528	2365	ERX359322
3529	15094	ERX384792
3530	23706	ERX385171
3532	23668	ERX385214
3535	15215	ERX385397
3536	15220	ERX385407
3559	23709	ERX385162
3615	3024	ERX490383
3616	3017	ERX490372
3617	31746	ERX490376
3649	408	ERX1033538
3691	3441	ERX556673
3692	3630	ERX589416
3716	2352	ERX359308
3718	2834	ERX490145
3720	31743	ERX490292
3721	2951	ERX490299
3760	3429	ERX556658
3762	3549	ERX556785
3763	3566	ERX556803
3765	3609	ERX556850
3767	3090	ERX551162
3768	3055	ERX551116
3772	3074	ERX551145
3773	3098	ERX551171
3774	9525	ERX551557
3775	9533	ERX551816
3778	9554	ERX552134
3780	3324	ERX552179
3781	4267	SRX476967
3784	9540	ERX552039
3785	12225	ERX1269028
3786	12242	ERX1269074
3788	12482	ERX1269772
3790	12284	ERX1269132
3791	12289	ERX1269140
3792	12327	ERX1269230
3794	12394	ERX1269476
3795	12404	ERX1269490
3798	3086	ERX551158
3800	31718	ERX490219
3805	3089	ERX551161
3806	12260	ERX1269101
3811	3509	ERX556743
3812	4283	SRX477016
3820	3603	ERX556844
3837	2955	ERX490303
3869	4279	SRX477010
3881	3759	ERX926370
3885	40351	SRX2122562
3894	3724	ERX926274
3931	4087	SRX1051398
3932	4184	SRX1051498
4159	4402	SRX886997
